total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winning_team
9,25,0.5555555555555556,0.28,18.496674992834137,15.981322445435534,2,3,7,21,0.7777777777777778,0.84,6,24,3,1,0,0,479,521,0.7515657620041754,0.7562380038387716,6,20,53.22222222222222,20.84,11,13,0.45454545454545453,0.07692307692307693,3,6,2,11,0,1,31,18,13,11,20,19,0.65,0.5789473684210527,6,7,0,0,20,10,0,0,1,1,22,17,0,1,0,0,221,249,49,58,35,78,2,7,17,41,0.5294117647058824,0.6341463414634146,0,0,0,0,12,7,8,9,0.4223083894086433,0.5776916105913567,1,4,1,6,0,2,2,5,2,5,138,83,5,3,3,10,2,8,0.3333333333333333,0.2,3,3,3,3,0,3,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
21,9,0.38095238095238093,0.3333333333333333,16.50922102622511,14.697519828416738,7,0,18,3,0.8571428571428571,0.3333333333333333,19,8,2,1,0,0,629,340,0.8139904610492846,0.6676470588235294,14,5,29.952380952380953,37.77777777777778,13,3,0.15384615384615385,0.3333333333333333,9,3,5,5,0,0,11,28,6,15,10,25,0.6,0.6,5,15,0,0,4,20,0,0,0,0,15,20,0,1,0,0,127,209,36,22,36,36,2,0,20,19,0.6,0.6842105263157895,0,0,0,0,17,5,2,1,0.667681346152859,0.332318653847141,1,0,2,1,2,4,1,0,1,0,78,70,1,1,14,3,12,2,0.35714285714285715,1.0,2,2,2,2,2,2,2,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
18,6,0.2222222222222222,0.16666666666666666,20.517795177045006,20.518284528683193,1,0,10,5,0.5555555555555556,0.8333333333333334,14,5,2,1,2,0,580,388,0.8068965517241379,0.6984536082474226,15,4,32.22222222222222,64.66666666666667,11,6,0.36363636363636365,0.16666666666666666,5,2,5,3,0,0,18,26,11,16,15,26,0.7333333333333333,0.6153846153846154,12,12,0,0,6,9,0,0,0,0,14,27,1,0,0,0,131,229,44,35,53,29,2,1,28,11,0.5357142857142857,0.36363636363636365,0,0,0,0,13,8,5,5,0.6637300807010671,0.3362699192989328,1,2,2,0,2,1,2,0,2,0,65,50,0,0,10,4,8,3,0.3,0.0,2,3,2,3,1,1,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
29,6,0.2413793103448276,0.6666666666666666,13.485930370174598,16.122434969805308,3,1,20,3,0.6896551724137931,0.5,25,5,4,1,0,0,606,293,0.7937293729372937,0.5119453924914675,22,5,20.896551724137932,48.833333333333336,17,1,0.35294117647058826,0.0,4,2,8,10,0,1,15,23,8,5,14,10,0.5714285714285714,0.5,10,12,0,0,0,13,0,1,1,0,27,19,0,1,0,0,91,191,29,39,27,26,4,1,23,8,0.782608695652174,0.5,0,0,0,0,5,11,4,3,0.702166429856836,0.297833570143164,1,0,6,4,2,7,1,1,1,1,51,34,1,0,9,4,6,2,0.2222222222222222,0.5,3,3,3,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
5,8,0.4,0.375,11.418350714234176,38.88321153179685,2,0,5,5,1.0,0.625,4,8,1,0,0,0,417,295,0.6139088729016786,0.4847457627118644,4,4,83.4,36.875,12,8,0.16666666666666666,0.25,6,3,2,5,0,0,15,14,6,3,11,10,0.5454545454545454,0.3,7,6,0,0,9,13,0,0,0,0,27,22,0,0,0,0,24,131,7,32,4,47,4,3,7,6,0.5714285714285714,0.5,0,0,0,0,7,8,1,1,0.5620033645819457,0.43799663541805434,0,2,0,3,2,1,0,0,0,0,34,8,0,0,4,5,4,3,0.25,0.2,3,3,3,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
15,16,0.4,0.1875,22.919838741947757,17.751150883028146,0,2,10,13,0.6666666666666666,0.8125,14,11,1,5,0,0,431,516,0.6983758700696056,0.7383720930232558,13,11,28.733333333333334,32.25,9,10,0.3333333333333333,0.2,5,8,4,8,0,0,24,22,13,10,19,19,0.6842105263157895,0.5263157894736842,10,10,1,1,5,16,0,0,0,0,15,21,1,2,0,0,195,210,27,51,71,71,0,1,16,10,0.6875,0.7,0,1,0,0,15,16,6,6,0.4438491836608331,0.556150816339167,1,2,2,1,2,5,1,2,1,2,59,40,2,0,7,12,5,10,0.42857142857142855,0.08333333333333333,3,3,3,2,3,7,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2,1,2,1,2,1,2,1,0.0,0,0.0,0,draw
2,25,0.5,0.28,27.892651361962706,17.4135259779387,0,1,0,15,0.0,0.6,2,18,0,7,0,0,259,732,0.4517374517374517,0.8087431693989071,1,22,129.5,29.28,2,23,0.0,0.391304347826087,0,11,3,2,0,0,20,15,10,8,13,15,0.7692307692307693,0.5333333333333333,7,4,0,0,31,0,0,0,1,0,6,15,0,0,0,0,169,47,20,15,8,26,1,4,14,16,0.7142857142857143,0.9375,0,0,0,0,11,12,1,2,0.23230516634378584,0.767694833656214,0,2,2,0,1,0,0,1,0,1,28,30,0,1,1,14,0,9,0.0,0.14285714285714285,1,2,1,2,0,3,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,0,1,0,1,1,1,0,1,0.0,0,0.0,0,draw
12,27,0.25,0.2962962962962963,25.76720516744993,14.97892139422133,1,2,3,15,0.25,0.5555555555555556,10,22,2,5,0,0,394,638,0.6192893401015228,0.7978056426332288,11,18,32.833333333333336,23.62962962962963,2,13,0.0,0.46153846153846156,4,8,4,7,0,0,23,18,15,10,29,15,0.5172413793103449,0.6666666666666666,13,6,1,0,17,8,0,0,0,0,9,26,0,0,0,0,150,162,16,41,40,56,3,3,10,32,0.8,0.6875,0,0,0,0,13,20,4,4,0.36878787996253737,0.6312121200374626,0,0,1,5,3,2,1,2,1,2,59,33,1,0,4,16,0,9,0.25,0.25,3,3,3,3,2,0,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,1,1,0,1,0,1,0,1,0.0,0,0.0,0,away_team
9,13,0.2222222222222222,0.46153846153846156,17.489514417583695,20.917447949909686,0,0,6,9,0.6666666666666666,0.6923076923076923,7,12,2,1,0,0,317,372,0.48264984227129337,0.5564516129032258,8,8,35.22222222222222,28.615384615384617,7,6,0.0,0.0,3,8,3,2,0,0,18,14,13,10,21,17,0.6190476190476191,0.5882352941176471,15,12,0,0,16,8,0,0,0,0,16,21,2,1,0,0,90,55,28,18,14,13,2,8,14,6,0.7142857142857143,0.8333333333333334,0,0,0,0,14,21,4,3,0.40848009763988646,0.5915199023601135,0,0,0,1,3,1,0,0,0,0,31,26,0,1,5,10,5,6,0.2,0.4,3,1,3,1,3,1,1,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,4,1,0.0,0,0.0,0,draw
5,24,0.4,0.4583333333333333,15.135248835719338,12.916812842127722,2,4,3,15,0.6,0.625,5,23,0,1,0,0,274,715,0.5547445255474452,0.8307692307692308,3,17,54.8,29.791666666666668,3,18,0.3333333333333333,0.16666666666666666,0,9,1,3,0,0,30,9,12,11,17,13,0.7058823529411765,0.8461538461538461,11,7,0,2,24,6,0,0,0,0,14,17,0,1,0,0,133,80,15,28,19,36,2,1,12,26,0.4166666666666667,0.6538461538461539,0,0,0,0,7,11,3,3,0.2530822159696475,0.7469177840303526,0,1,0,1,1,1,0,2,0,2,26,57,1,6,2,15,2,10,0.5,0.4666666666666667,3,3,3,3,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,4,1,0,1,0,1,5,1,0.0,0,0.0,0,away_team
