total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winner_team
21,7,0.2857142857142857,0.2857142857142857,20.34946140987472,18.509981805733187,2,0,14,3,0.6666666666666666,0.42857142857142855,18,5,3,2,0,0,569,346,0.836555360281195,0.7774566473988439,9,7,27.095238095238095,49.42857142857143,15,6,0.06666666666666667,0.16666666666666666,7,2,10,4,0,0,17,19,14,9,16,21,0.875,0.42857142857142855,5,16,0,1,13,45,0,0,0,1,14,12,0,2,0,0,156,149,39,23,52,16,2,1,18,12,0.5,0.75,0,0,0,0,12,13,4,4,0.6793937209130835,0.3206062790869165,1,0,4,2,5,2,2,4,2,3,66,88,2,1,11,2,10,1,0.2727272727272727,0.0,3,3,3,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
9,13,0.1111111111111111,0.3076923076923077,6.736467917239719,24.90826189572097,1,2,6,7,0.6666666666666666,0.5384615384615384,6,12,3,1,0,0,404,426,0.6707920792079208,0.7253521126760564,6,7,44.888888888888886,32.76923076923077,15,8,0.2,0.25,1,7,13,8,0,0,20,4,23,19,36,31,0.6388888888888888,0.6129032258064516,13,14,0,1,20,61,0,0,1,0,17,19,1,1,0,0,214,205,55,40,35,64,1,0,28,22,0.5,0.5454545454545454,0,0,0,0,19,27,3,3,0.48506403632026895,0.514935963679731,0,3,6,3,7,2,2,4,2,3,91,98,2,4,6,6,4,3,0.0,0.5,3,2,3,2,3,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
17,10,0.23529411764705882,0.5,29.482387503651367,22.443641531549037,0,1,9,7,0.5294117647058824,0.7,14,7,3,3,0,0,527,302,0.7760910815939279,0.6291390728476821,15,7,31.0,30.2,11,8,0.09090909090909091,0.25,9,5,3,12,0,1,30,22,14,10,17,20,0.8235294117647058,0.5,10,10,0,0,21,48,0,0,1,0,24,18,2,1,0,0,129,142,49,26,39,37,1,1,24,14,0.625,0.7857142857142857,0,0,0,0,11,15,2,2,0.6391077810642305,0.36089221893576956,0,2,2,7,1,4,0,1,0,0,63,33,3,1,10,8,7,5,0.3,0.625,3,3,3,3,3,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
17,10,0.29411764705882354,0.2,18.84129314703236,16.33385351890432,2,0,10,6,0.5882352941176471,0.6,15,8,2,2,0,0,634,361,0.8485804416403786,0.7673130193905817,16,7,37.294117647058826,36.1,16,10,0.4375,0.4,5,2,7,8,0,0,14,13,11,17,17,24,0.6470588235294118,0.7083333333333334,8,14,0,2,20,30,0,0,0,0,8,16,3,2,0,0,107,260,30,40,37,50,2,0,16,19,0.5625,0.5263157894736842,0,0,0,0,18,8,5,6,0.6177915810369068,0.3822084189630933,2,0,5,1,0,7,1,1,0,0,175,32,9,0,13,5,8,3,0.23076923076923078,0.2,2,3,2,3,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
10,8,0.3,0.25,26.39461975313148,9.85867011515323,0,1,4,4,0.4,0.5,10,6,0,2,0,0,598,383,0.8394648829431438,0.7284595300261096,4,7,59.8,47.875,9,7,0.0,0.5714285714285714,4,3,9,9,0,0,27,17,8,15,9,28,0.8888888888888888,0.5357142857142857,10,6,0,1,26,37,0,0,0,0,8,21,0,0,0,0,160,212,33,28,57,42,1,1,26,9,0.3076923076923077,0.4444444444444444,0,0,0,0,12,4,1,2,0.5261067164323233,0.4738932835676766,2,0,5,4,2,5,1,1,1,1,87,78,0,3,3,6,0,4,0.6666666666666666,0.3333333333333333,1,3,1,3,0,2,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
8,21,0.25,0.42857142857142855,21.514514099274002,18.731595005359786,0,2,4,12,0.5,0.5714285714285714,8,19,0,2,0,0,370,438,0.6243243243243243,0.723744292237443,4,13,46.25,20.857142857142858,6,12,0.0,0.25,5,6,2,8,0,0,21,21,10,19,16,24,0.625,0.7916666666666666,9,11,0,1,34,40,1,0,0,0,17,23,1,1,0,0,130,206,47,49,27,68,2,5,19,11,0.631578947368421,0.6363636363636364,0,0,0,0,19,13,1,1,0.45338593523158033,0.5466140647684196,0,1,1,2,1,5,2,0,0,0,130,58,2,2,5,6,3,4,0.2,0.16666666666666666,3,3,3,3,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
6,13,0.16666666666666666,0.38461538461538464,21.69331694324314,12.337711850086702,0,5,2,11,0.3333333333333333,0.8461538461538461,5,10,1,3,0,0,449,569,0.7260579064587973,0.7978910369068541,4,7,74.83333333333333,43.76923076923077,4,12,0.0,0.3333333333333333,3,6,5,10,0,0,17,18,15,19,26,24,0.5769230769230769,0.7916666666666666,6,5,1,0,30,46,0,0,0,0,10,14,1,0,0,0,200,201,40,44,30,70,0,1,10,20,0.9,0.75,0,0,0,0,23,22,1,0,0.4725584831791506,0.5274415168208494,0,3,3,7,2,0,1,5,0,5,98,117,0,3,4,7,2,6,0.25,0.2857142857142857,3,0,3,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,0.0,0,0.0,0,away_team
18,14,0.3333333333333333,0.2857142857142857,22.51396255653368,30.014314741860844,0,1,9,4,0.5,0.2857142857142857,16,12,2,2,0,0,563,391,0.7779751332149201,0.7416879795396419,13,9,31.27777777777778,27.928571428571427,20,11,0.1,0.2727272727272727,13,0,6,5,0,0,20,18,19,9,25,22,0.76,0.45454545454545453,7,10,0,0,7,50,0,0,0,0,15,13,2,0,0,0,159,259,38,39,46,61,1,2,22,15,0.8181818181818182,0.6666666666666666,0,1,0,0,19,20,4,4,0.5871767215317376,0.41282327846826256,1,0,2,3,3,2,3,2,3,2,139,87,2,0,8,4,4,1,0.25,0.0,1,3,1,2,0,4,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,1,1,1,0,1,0.0,0,0.0,0,home_team
9,15,0.1111111111111111,0.4,14.358969322343443,15.724012458269911,0,3,4,10,0.4444444444444444,0.6666666666666666,8,11,1,4,0,0,275,574,0.6327272727272727,0.8205574912891986,7,9,30.555555555555557,38.266666666666666,6,18,0.16666666666666666,0.2777777777777778,5,4,6,6,0,0,25,16,11,3,23,10,0.4782608695652174,0.3,15,7,1,0,25,13,0,0,0,0,20,13,1,1,0,0,203,122,21,34,21,51,0,3,13,12,0.6923076923076923,0.5,0,0,0,0,7,17,1,1,0.36651983595942156,0.6334801640405784,0,4,1,0,5,2,4,4,3,3,78,92,2,4,4,12,3,7,0.25,0.5,2,3,2,3,0,5,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1,0,1,0,1,1,1,0.0,0,0.0,0,draw
21,6,0.3333333333333333,0.16666666666666666,26.468868172325564,30.26450065671,1,0,8,2,0.38095238095238093,0.3333333333333333,21,5,0,1,0,0,523,385,0.8183556405353728,0.7298701298701299,13,6,24.904761904761905,64.16666666666667,14,6,0.07142857142857142,0.16666666666666666,3,3,4,3,0,0,13,20,21,16,35,31,0.6,0.5161290322580645,12,14,0,1,25,14,0,1,0,0,15,21,1,2,0,1,141,165,30,32,27,23,3,0,17,22,0.7058823529411765,0.45454545454545453,0,0,0,0,28,24,4,4,0.5912097797653478,0.40879022023465217,1,0,3,3,0,0,3,1,1,0,42,50,0,1,7,4,3,1,0.2857142857142857,0.25,3,3,3,3,2,5,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,1,1,1,1,0,1,0,1,0.0,0,0.0,0,home_team
