total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,pressures_home,pressures_away,counterpress_home,counterpress_away,pressures_in_attacking_third_home,pressures_in_attacking_third_away,offsides_home,offsides_away,dribbles_home,dribbles_away,dribbles_success_ratio_home,dribbles_success_ratio_away,injury_substitutions_home,injury_substitutions_away,players_off_home,players_off_away,dispossessed_home,dispossessed_away,counterattacks_home,counterattacks_away,possession_percentage_home,possession_percentage_away,recoveries_attacking_third_home,recoveries_attacking_third_away,recoveries_middle_third_home,recoveries_middle_third_away,recoveries_defensive_third_home,recoveries_defensive_third_away,shots_under_pressure_home,shots_under_pressure_away,shots_inside_area_under_pressure_home,shots_inside_area_under_pressure_away,passes_under_pressure_home,passes_under_pressure_away,passes_inside_area_under_pressure_home,passes_inside_area_under_pressure_away,set_piece_shots_home,set_piece_shots_away,set_piece_shots_inside_area_home,set_piece_shots_inside_area_away,set_piece_shots_on_target_ratio_home,set_piece_shots_on_target_ratio_away,substitutions_home,substitutions_away,tactical_substitutions_home,tactical_substitutions_away,tactical_changes_home,tactical_changes_away,formation_changes_home,formation_changes_away,last_3_matches_form_home,is_valid_last_3_matches_form_home,last_3_matches_form_away,is_valid_last_3_matches_form_away,win_rate_last_5_matches_home,is_valid_win_rate_last_5_matches_home,win_rate_last_5_matches_away,is_valid_win_rate_last_5_matches_away,win_last_home_match_home_team,is_valid_win_last_home_match_home_team,win_last_away_match_away_team,is_valid_win_last_away_match_away_team,goals_conceded_last_match_home,is_valid_goals_conceded_last_match_home,goals_conceded_last_match_away,is_valid_goals_conceded_last_match_away,goals_scored_last_match_home,is_valid_goals_scored_last_match_home,goals_scored_last_match_away,is_valid_goals_scored_last_match_away,std_shots_last_3_matches_home,is_valid_std_shots_last_3_matches_home,std_shots_last_3_matches_away,is_valid_std_shots_last_3_matches_away,winning_team
11,8,0.5454545454545454,0.125,19.91269732773041,27.69729228643118,3,0,6,5,0.5454545454545454,0.625,10,5,1,3,0,0,351,465,0.7378917378917379,0.8236559139784946,9,5,31.90909090909091,58.125,9,6,0.4444444444444444,0.6666666666666666,4,5,9,5,1,0,19,17,16,11,19,19,0.8421052631578947,0.5789473684210527,10,19,1,0,7,8,0,1,0,1,11,21,0,3,0,0,93,126,22,23,32,33,3,2,20,13,0.65,0.6153846153846154,0,0,0,0,12,14,2,2,0.4812242546085905,0.5187757453914096,1,0,5,2,4,3,2,0,1,0,59,30,2,0,6,6,3,4,0.5,0.16666666666666666,5,5,5,5,0,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
10,14,0.5,0.21428571428571427,17.43377038247178,14.76410710025354,4,0,9,12,0.9,0.8571428571428571,9,8,1,6,0,0,309,499,0.6990291262135923,0.749498997995992,5,10,30.9,35.642857142857146,3,18,0.0,0.3333333333333333,4,7,15,7,0,1,15,19,7,13,11,24,0.6363636363636364,0.5416666666666666,16,11,0,0,41,11,0,1,1,0,15,10,2,2,0,0,152,138,32,32,19,37,1,0,21,17,0.3333333333333333,0.5294117647058824,0,0,0,0,13,6,4,3,0.4572321848734389,0.5427678151265611,1,0,8,6,6,2,6,8,5,8,59,52,0,0,7,10,6,8,0.42857142857142855,0.1,4,4,4,4,1,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
14,7,0.2857142857142857,0.2857142857142857,19.354708549218564,15.125791976461336,0,1,7,4,0.5,0.5714285714285714,11,6,3,1,0,0,528,290,0.7878787878787878,0.6310344827586207,8,4,37.714285714285715,41.42857142857143,19,6,0.2631578947368421,0.16666666666666666,11,7,7,9,0,0,14,29,7,8,18,18,0.3888888888888889,0.4444444444444444,15,14,0,0,18,32,1,0,0,0,15,11,0,2,0,0,131,125,35,22,48,19,2,2,11,11,0.36363636363636365,0.2727272727272727,1,0,0,0,11,12,1,1,0.6272893339501042,0.3727106660498957,1,0,4,3,2,6,1,0,1,0,58,37,0,2,10,3,6,0,0.3,0.0,5,3,4,3,2,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,away_team
11,18,0.2727272727272727,0.16666666666666666,16.403569045895967,15.734967565505622,0,1,3,13,0.2727272727272727,0.7222222222222222,11,12,0,6,0,0,275,473,0.6145454545454545,0.7378435517970402,6,10,25.0,26.27777777777778,8,17,0.125,0.17647058823529413,5,5,8,2,0,0,20,22,10,7,18,14,0.5555555555555556,0.5,13,20,0,1,45,19,0,0,1,0,18,23,1,1,0,0,111,110,15,29,16,35,2,3,11,19,0.45454545454545453,0.42105263157894735,1,0,0,0,10,9,1,1,0.36728643313058557,0.6327135668694144,0,0,1,2,7,0,1,4,1,3,29,61,0,3,9,15,3,12,0.2222222222222222,0.2,4,5,3,5,1,1,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,draw
11,12,0.5454545454545454,0.3333333333333333,20.372262209421212,15.687201672855561,1,2,8,8,0.7272727272727273,0.6666666666666666,9,11,2,1,0,0,560,270,0.8125,0.5925925925925926,8,6,50.90909090909091,22.5,8,7,0.25,0.14285714285714285,2,1,9,14,1,0,11,13,14,11,20,17,0.7,0.7058823529411765,9,12,0,0,16,14,0,0,1,0,16,11,1,1,0,0,128,114,36,22,31,17,3,6,11,11,0.5454545454545454,0.45454545454545453,1,1,0,0,12,15,2,0,0.6582215565095239,0.3417784434904761,0,0,5,6,5,8,2,1,2,1,57,43,1,0,9,5,6,3,0.5555555555555556,0.4,4,4,3,3,2,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,home_team
7,13,0.0,0.23076923076923078,120.0,20.194810524484588,0,3,1,8,0.14285714285714285,0.6153846153846154,6,9,1,4,0,0,354,417,0.6864406779661016,0.7194244604316546,5,8,50.57142857142857,32.07692307692308,11,7,0.09090909090909091,0.5714285714285714,3,4,16,9,0,0,16,15,9,11,15,20,0.6,0.55,18,11,0,0,14,21,0,0,1,0,18,10,2,1,0,0,135,147,23,42,30,40,0,3,9,21,0.4444444444444444,0.6190476190476191,1,0,0,0,16,7,3,3,0.4777761543007216,0.5222238456992784,0,1,5,2,11,6,0,3,0,2,75,69,1,2,6,7,1,4,0.0,0.14285714285714285,5,5,4,5,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,4,1,4,1,2,1,2,1,0.0,0,0.0,0,draw
10,15,0.2,0.4666666666666667,13.07200014960511,13.38030637085228,1,4,7,10,0.7,0.6666666666666666,10,13,0,2,0,0,553,189,0.8444846292947559,0.5502645502645502,9,12,55.3,12.6,11,11,0.45454545454545453,0.18181818181818182,5,6,8,15,0,0,8,12,7,10,12,11,0.5833333333333334,0.9090909090909091,16,16,0,0,20,16,0,0,1,0,17,16,1,2,0,0,94,124,37,12,21,36,5,1,12,13,0.5833333333333334,0.6153846153846154,0,0,0,0,8,8,4,6,0.605125170998632,0.394874829001368,0,0,2,8,6,7,1,1,1,0,48,39,0,1,7,11,4,7,0.14285714285714285,0.36363636363636365,4,3,4,3,1,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,1,3,1,1,1,0,1,1,1,0.0,0,0.0,0,away_team
7,12,0.0,0.4166666666666667,120.0,18.580663188549252,1,1,5,7,0.7142857142857143,0.5833333333333334,4,12,3,0,0,0,518,426,0.7895752895752896,0.8169014084507042,4,10,74.0,35.5,9,9,0.2222222222222222,0.5555555555555556,4,2,6,9,0,0,9,18,15,10,23,24,0.6956521739130435,0.4166666666666667,10,14,0,0,4,12,0,0,1,0,14,17,3,0,0,0,129,111,28,20,31,14,3,1,14,15,0.5714285714285714,0.4666666666666667,0,0,0,0,19,16,0,1,0.5031566751461087,0.4968433248538913,0,1,3,3,3,6,3,0,3,0,57,29,1,1,6,8,5,4,0.0,0.25,5,3,5,3,4,2,1,0,0,0,0,0,0.0,0,0.0,0,0,1,0,0,1,1,2,1,1,1,4,1,0.0,0,0.0,0,away_team
6,18,0.8333333333333334,0.2777777777777778,20.194533807200234,13.41306917073365,1,2,3,14,0.5,0.7777777777777778,6,12,0,6,0,0,274,536,0.6824817518248175,0.8115671641791045,3,14,45.666666666666664,29.77777777777778,8,18,0.25,0.2777777777777778,2,7,13,7,0,1,14,7,11,13,22,20,0.5,0.65,10,15,0,1,25,17,1,0,0,1,11,15,1,2,0,0,125,91,22,29,16,16,2,1,17,22,0.7058823529411765,0.5909090909090909,1,1,0,0,16,13,4,4,0.33509971795178445,0.6649002820482156,0,1,6,5,7,2,0,7,0,6,26,66,1,1,2,8,0,8,1.0,0.375,5,5,4,4,2,2,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,1,0,0,4,1,0.0,0,0.0,0,home_team
12,7,0.3333333333333333,0.5714285714285714,13.050474292066177,10.696796022983824,3,2,9,5,0.75,0.7142857142857143,9,6,3,1,0,0,466,283,0.7682403433476395,0.6254416961130742,7,3,38.833333333333336,40.42857142857143,9,10,0.3333333333333333,0.4,5,2,13,5,0,0,13,28,16,12,19,20,0.8421052631578947,0.6,23,17,0,1,14,14,1,0,0,0,18,11,2,2,0,0,147,115,36,31,33,25,0,1,19,9,0.42105263157894735,0.5555555555555556,0,0,0,0,9,15,2,1,0.6068141038298749,0.3931858961701251,2,3,8,1,3,1,4,1,4,1,46,33,0,0,8,5,7,3,0.25,0.4,3,4,3,4,1,0,0,0,0,0,0,0,0.0,0,0.0,0,1,1,0,0,0,1,1,1,3,1,0,1,0.0,0,0.0,0,away_team
13,16,0.5384615384615384,0.25,18.866413485129595,12.935513921266907,2,1,9,10,0.6923076923076923,0.625,11,11,2,5,0,0,450,400,0.8155555555555556,0.7375,8,9,34.61538461538461,25.0,7,15,0.0,0.26666666666666666,2,6,11,9,0,1,17,14,4,12,10,17,0.4,0.7058823529411765,15,17,0,0,28,13,1,0,0,0,14,10,0,1,0,0,111,142,29,21,24,20,2,3,17,10,0.6470588235294118,0.7,1,0,0,0,12,7,3,2,0.4802378385289893,0.5197621614710107,0,2,5,5,6,3,2,4,1,4,47,43,1,3,8,11,5,7,0.75,0.2727272727272727,5,5,4,5,1,1,0,0,0,0,0,0,0.0,0,0.0,0,1,1,0,0,1,1,3,1,3,1,0,1,0.0,0,0.0,0,home_team
10,18,0.1,0.5555555555555556,26.503018695990086,13.512528794427936,0,4,2,13,0.2,0.7222222222222222,9,15,1,2,0,1,325,523,0.7353846153846154,0.8336520076481836,7,13,32.5,29.055555555555557,6,15,0.16666666666666666,0.3333333333333333,2,4,8,7,0,0,11,9,7,5,14,8,0.5,0.625,12,10,0,0,18,10,0,0,0,0,16,10,2,2,1,0,120,75,20,16,16,13,2,2,11,22,0.5454545454545454,0.6363636363636364,0,0,0,0,4,8,3,3,0.3729220889926345,0.6270779110073655,1,0,5,4,2,3,2,3,2,3,26,37,0,1,7,8,1,6,0.0,0.375,5,5,5,5,1,1,1,0,0,0,0,0,0.0,0,0.0,0,1,1,0,0,0,1,3,1,3,1,1,1,0.0,0,0.0,0,away_team
12,11,0.25,0.36363636363636365,23.032009759088737,17.838745825917947,0,2,4,9,0.3333333333333333,0.8181818181818182,10,8,2,3,0,0,443,465,0.7381489841986456,0.7655913978494624,9,8,36.916666666666664,42.27272727272727,9,6,0.2222222222222222,0.5,2,6,16,9,0,0,22,17,15,9,21,17,0.7142857142857143,0.5294117647058824,15,11,0,1,12,13,0,0,0,0,12,16,3,1,0,0,146,129,20,34,34,24,0,2,12,10,0.5,0.7,1,0,0,0,13,19,3,1,0.45267308778460497,0.5473269122153951,1,1,7,4,8,4,1,2,1,2,80,70,1,2,9,7,3,6,0.2222222222222222,0.42857142857142855,5,3,4,3,2,1,1,0,0,0,0,0,0.0,0,0.0,0,0,1,1,1,0,1,0,1,0,1,1,1,0.0,0,0.0,0,away_team
11,9,0.2727272727272727,0.1111111111111111,21.495160547255807,16.688319268278637,1,0,6,4,0.5454545454545454,0.4444444444444444,9,7,2,2,0,0,561,325,0.7575757575757576,0.5723076923076923,9,5,51.0,36.111111111111114,6,11,0.16666666666666666,0.18181818181818182,4,5,6,8,0,0,19,13,12,8,13,15,0.9230769230769231,0.5333333333333333,17,12,0,0,19,22,0,0,0,1,19,15,1,1,0,0,122,110,37,17,27,32,2,1,8,8,0.375,0.375,0,0,0,0,11,9,3,4,0.6583759517993463,0.34162404820065384,0,2,1,5,5,1,3,2,2,1,72,34,2,2,8,6,5,3,0.25,0.16666666666666666,3,5,3,5,0,0,0,0,0,0,0,0,0.0,0,0.0,0,1,1,0,1,3,1,0,1,1,1,0,1,0.0,0,0.0,0,draw
11,7,0.09090909090909091,0.14285714285714285,17.74964788383139,19.942417105255824,1,0,6,4,0.5454545454545454,0.5714285714285714,10,3,1,4,0,0,259,370,0.5482625482625483,0.6810810810810811,7,5,23.545454545454547,52.857142857142854,8,5,0.0,0.0,5,5,4,10,1,0,16,18,9,5,19,9,0.47368421052631576,0.5555555555555556,22,11,0,0,41,22,0,0,0,0,16,24,2,1,0,0,113,71,15,20,17,12,0,2,11,15,0.45454545454545453,0.4,0,1,0,0,4,11,1,1,0.4932127828298593,0.5067872171701409,1,0,1,8,3,2,1,1,1,1,29,46,1,2,7,6,4,4,0.14285714285714285,0.16666666666666666,4,4,4,3,2,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1,1,1,1,1,1,3,1,3,1,0.0,0,0.0,0,draw
10,21,0.4,0.38095238095238093,18.00943665774582,15.988900796075267,3,4,5,13,0.5,0.6190476190476191,9,19,1,2,0,0,296,586,0.6148648648648649,0.7815699658703071,8,13,29.6,27.904761904761905,6,19,0.16666666666666666,0.2631578947368421,2,4,15,11,0,0,25,13,9,7,14,13,0.6428571428571429,0.5384615384615384,19,12,0,1,19,12,0,0,0,0,18,15,3,0,0,0,165,150,32,50,26,49,0,4,16,16,0.375,0.75,0,0,0,0,7,11,2,2,0.33229001616896775,0.6677099838310323,2,3,5,3,8,5,0,5,0,2,43,98,0,2,5,12,3,10,0.4,0.3333333333333333,4,5,4,5,2,1,0,0,1,1,0,1,0.0,0,0.0,0,0,1,0,1,2,1,3,1,1,1,1,1,2.357022603955158,1,1.0,1,home_team
11,18,0.5454545454545454,0.2777777777777778,18.279944246038195,17.648050616955068,4,5,8,10,0.7272727272727273,0.5555555555555556,11,17,0,1,0,0,471,396,0.7239915074309978,0.7045454545454546,7,9,42.81818181818182,22.0,12,9,0.25,0.3333333333333333,3,3,10,7,0,0,18,18,6,10,13,17,0.46153846153846156,0.5882352941176471,15,9,0,1,22,26,0,0,0,1,14,20,2,2,0,0,152,123,30,29,27,19,1,1,24,18,0.5833333333333334,0.6111111111111112,1,1,0,0,9,8,2,3,0.4925904054149358,0.5074095945850642,2,0,3,5,5,3,2,4,2,3,49,71,0,1,5,15,2,8,0.4,0.2,5,5,4,4,2,2,0,0,2,1,6,1,0.0,0,0.0,0,0,0,0,0,1,1,4,1,1,1,6,1,2.160246899469287,1,3.5,1,home_team
24,11,0.16666666666666666,0.09090909090909091,16.064207262621146,4.7801673610868445,4,2,18,8,0.75,0.7272727272727273,22,8,2,3,0,0,489,352,0.7893660531697342,0.7017045454545454,13,7,20.375,32.0,18,13,0.2777777777777778,0.38461538461538464,12,5,8,6,0,0,16,25,11,8,17,20,0.6470588235294118,0.4,13,9,0,0,19,26,0,0,0,3,15,11,2,1,0,0,71,144,20,21,18,15,1,1,10,15,0.4,0.6,0,1,0,0,15,12,5,6,0.5826114730115144,0.41738852698848566,2,0,5,4,1,2,4,0,4,0,55,25,4,0,15,7,10,5,0.2,0.14285714285714285,2,5,2,4,3,2,0,0,6,1,1,1,0.0,0,0.0,0,0,0,0,1,1,1,6,1,2,1,4,1,2.0,1,3.681787005729087,1,draw
13,11,0.3076923076923077,0.2727272727272727,20.071252493650235,12.813260711567137,0,1,6,5,0.46153846153846156,0.45454545454545453,10,11,3,0,0,0,282,439,0.6028368794326241,0.7494305239179955,8,5,21.692307692307693,39.90909090909091,8,15,0.375,0.2,6,6,7,3,0,0,26,22,10,5,18,14,0.5555555555555556,0.35714285714285715,9,11,0,0,33,44,0,0,0,0,24,27,4,2,0,0,144,93,32,20,36,16,1,4,14,16,0.5,0.4375,1,0,0,0,9,10,3,3,0.4477560089407592,0.5522439910592408,0,1,5,1,2,1,2,2,2,2,38,71,1,1,11,6,5,2,0.18181818181818182,0.16666666666666666,4,3,3,3,0,1,0,1,5,1,6,1,0.0,0,0.0,0,0,1,1,1,1,1,5,1,1,1,1,1,2.8674417556808756,1,0.9428090415820634,1,home_team
12,9,0.3333333333333333,0.5555555555555556,17.823981812390187,14.363132767755591,1,1,6,6,0.5,0.6666666666666666,10,6,2,3,0,0,300,363,0.59,0.696969696969697,6,6,25.0,40.333333333333336,13,5,0.38461538461538464,0.2,6,6,12,6,0,0,23,26,11,5,14,14,0.7857142857142857,0.42857142857142855,26,14,1,0,21,26,1,1,0,0,10,12,3,2,0,0,147,121,33,32,59,23,2,0,13,9,0.6153846153846154,0.5555555555555556,1,0,0,0,10,11,2,3,0.42684499984665447,0.5731550001533455,4,0,5,4,3,2,2,1,2,1,57,60,7,2,7,7,3,5,0.2857142857142857,0.42857142857142855,5,5,4,5,1,0,0,0,4,1,6,1,0.0,0,0.0,0,0,1,1,1,1,1,1,1,1,1,5,1,3.2998316455372216,1,3.0912061651652345,1,away_team
9,14,0.2222222222222222,0.07142857142857142,25.3583210324479,21.054453210663056,1,0,5,8,0.5555555555555556,0.5714285714285714,8,13,1,1,0,0,381,477,0.7427821522309711,0.7295597484276729,6,9,42.333333333333336,34.07142857142857,10,10,0.2,0.4,3,9,11,9,0,0,21,10,8,17,15,25,0.5333333333333333,0.68,13,11,0,0,30,10,0,0,0,0,13,12,1,1,0,0,124,113,29,41,19,13,0,1,11,15,0.45454545454545453,0.26666666666666666,1,0,0,0,20,7,2,2,0.40414008926269795,0.595859910737302,0,2,7,4,4,3,0,1,0,1,58,38,1,1,8,8,4,6,0.125,0.125,3,2,2,2,0,1,0,0,3,1,7,1,0.0,0,0.0,0,0,1,1,1,2,1,0,1,1,1,0,1,0.816496580927726,1,7.2571803523590805,1,draw
9,21,0.3333333333333333,0.09523809523809523,21.557908434292756,12.910705876415179,1,1,2,13,0.2222222222222222,0.6190476190476191,7,14,2,6,0,1,518,327,0.749034749034749,0.6422018348623854,7,13,57.55555555555556,15.571428571428571,3,12,0.3333333333333333,0.4166666666666667,3,3,5,16,0,0,18,14,12,13,16,25,0.75,0.52,14,15,1,1,16,18,0,0,0,0,13,13,2,0,0,0,90,125,20,26,15,20,2,3,22,13,0.5,0.5384615384615384,0,0,0,0,16,10,2,3,0.5589466462736337,0.4410533537263664,1,0,1,6,3,10,1,4,1,3,59,40,0,1,8,9,2,6,0.375,0.1111111111111111,5,3,5,3,1,1,0,0,6,1,4,1,0.0,0,0.0,0,1,1,0,1,2,1,1,1,1,1,2,1,4.921607686744467,1,2.0548046676563256,1,home_team
10,9,0.2,0.3333333333333333,24.993719337807534,20.091028050984022,0,0,2,6,0.2,0.6666666666666666,10,7,0,2,0,0,351,437,0.5954415954415955,0.6498855835240275,8,7,35.1,48.55555555555556,6,11,0.3333333333333333,0.36363636363636365,0,6,15,12,0,0,24,17,9,7,12,12,0.75,0.5833333333333334,19,25,0,1,26,20,0,0,0,0,18,16,1,2,0,0,114,120,16,33,26,34,4,3,18,7,0.6111111111111112,0.7142857142857143,0,1,0,0,6,10,4,4,0.46291704068120654,0.5370829593187936,2,2,5,2,8,8,1,3,0,3,86,79,1,4,8,6,1,5,0.125,0.16666666666666666,5,3,5,2,1,1,1,0,4,1,1,1,0.0,0,0.0,0,0,1,0,1,1,1,3,1,1,1,1,1,3.2998316455372216,1,3.0912061651652345,1,home_team
12,12,0.6666666666666666,0.4166666666666667,19.74483249601837,16.905149819431514,2,3,7,9,0.5833333333333334,0.75,12,8,0,4,0,0,458,349,0.7532751091703057,0.7106017191977078,8,9,38.166666666666664,29.083333333333332,9,14,0.1111111111111111,0.21428571428571427,4,4,6,15,1,0,20,17,17,4,23,6,0.7391304347826086,0.6666666666666666,13,12,0,0,32,21,0,0,0,2,10,14,1,1,0,0,112,104,39,24,17,28,2,0,14,17,0.7857142857142857,0.47058823529411764,0,0,0,0,3,16,3,3,0.4738916066447038,0.5261083933552962,0,3,4,9,3,3,3,2,2,1,59,43,1,0,8,6,5,5,0.875,0.16666666666666666,3,5,3,5,0,4,0,0,6,1,7,1,0.0,0,0.0,0,0,1,1,1,1,1,1,1,3,1,2,1,3.7416573867739413,1,1.632993161855452,1,home_team
