total_shots_home,total_shots_away,shots_on_target_ratio_home,shots_on_target_ratio_away,average_shots_on_target_distance_home,average_shots_on_target_distance_away,shots_high_xG_home,shots_high_xG_away,shots_inside_area_home,shots_inside_area_away,shots_inside_area_ratio_home,shots_inside_area_ratio_away,shots_foot_home,shots_foot_away,shots_head_home,shots_head_away,shots_other_home,shots_other_away,total_passes_home,total_passes_away,pass_success_ratio_home,pass_success_ratio_away,key_passes_home,key_passes_away,passes_needed_to_make_a_shoot_home,passes_needed_to_make_a_shoot_away,crosses_home,crosses_away,cross_success_ratio_home,cross_success_ratio_away,corners_home,corners_away,interceptions_won_home,interceptions_won_away,recoveries_home,recoveries_away,blocks_home,blocks_away,duels_won_home,duels_won_away,tackles_home,tackles_away,tackles_success_ratio_home,tackles_success_ratio_away,fouls_committed_home,fouls_committed_away,50_50_won_home,50_50_won_away,clearances_home,clearances_away,penaltys_committed_home,penaltys_committed_away,key_errors_home,key_errors_away,miscontrols_home,miscontrols_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,winning_team
5,13,0.4,0.15384615384615385,20.462903761666816,15.923442331078995,0,2,3,5,0.6,0.38461538461538464,4,13,1,0,0,0,317,587,0.6309148264984227,0.8040885860306644,4,6,63.4,45.15384615384615,6,6,0.0,0.0,4,6,9,6,0,0,21,9,18,4,28,12,0.6428571428571429,0.3333333333333333,25,15,0,0,25,3,0,0,1,0,7,10,2,5,0,0,home_team
16,10,0.3125,0.3,25.23997306761335,18.652678883553516,0,2,3,6,0.1875,0.6,16,9,0,1,0,0,544,417,0.7591911764705882,0.6906474820143885,11,6,34.0,41.7,14,19,0.2857142857142857,0.2631578947368421,5,4,17,7,0,0,16,29,11,12,14,16,0.7857142857142857,0.75,18,12,0,1,23,19,0,0,0,0,16,13,3,2,0,0,draw
6,10,0.3333333333333333,0.4,33.43144710230699,11.773407437623108,0,2,3,7,0.5,0.7,5,10,1,0,0,0,353,736,0.6090651558073654,0.8097826086956522,5,7,58.833333333333336,73.6,8,9,0.125,0.2222222222222222,2,4,10,2,0,0,13,10,10,13,17,17,0.5882352941176471,0.7647058823529411,18,11,0,1,39,42,1,0,0,0,11,14,3,3,0,0,away_team
13,10,0.46153846153846156,0.4,24.394269001488123,9.439840065076636,2,2,7,8,0.5384615384615384,0.8,11,8,2,2,0,0,530,405,0.7603773584905661,0.6765432098765433,7,7,40.76923076923077,40.5,8,14,0.125,0.2857142857142857,6,5,5,10,0,0,12,22,13,18,23,27,0.5652173913043478,0.6666666666666666,6,25,0,0,12,14,0,0,0,1,17,5,1,6,1,0,away_team
26,10,0.15384615384615385,0.2,20.432656535856914,19.849825182294264,0,2,10,8,0.38461538461538464,0.8,25,8,1,2,0,0,427,344,0.775175644028103,0.7005813953488372,19,7,16.423076923076923,34.4,12,11,0.4166666666666667,0.2727272727272727,7,2,15,7,3,0,9,19,4,11,12,16,0.3333333333333333,0.6875,21,12,0,0,8,20,0,0,0,1,13,13,3,5,0,0,draw
6,27,0.0,0.2962962962962963,120.0,21.35261869059402,0,1,4,12,0.6666666666666666,0.4444444444444444,4,22,2,5,0,0,349,698,0.6246418338108882,0.832378223495702,2,19,58.166666666666664,25.85185185185185,16,20,0.125,0.25,2,5,8,12,0,0,30,15,20,10,26,14,0.7692307692307693,0.7142857142857143,23,6,0,0,28,15,0,0,0,0,12,16,4,0,0,0,draw
12,7,0.25,0.0,25.68571522115414,120.0,0,1,5,4,0.4166666666666667,0.5714285714285714,11,4,1,3,0,0,674,424,0.814540059347181,0.7570754716981132,7,4,56.166666666666664,60.57142857142857,20,1,0.25,1.0,4,4,9,18,0,1,18,11,11,12,16,17,0.6875,0.7058823529411765,14,19,0,0,11,32,0,0,0,0,16,19,2,0,0,0,home_team
11,14,0.18181818181818182,0.42857142857142855,24.736200141815676,17.236906971887905,0,1,3,7,0.2727272727272727,0.5,10,13,1,1,0,0,311,707,0.6495176848874598,0.8642149929278642,5,9,28.272727272727273,50.5,13,16,0.23076923076923078,0.4375,4,6,5,9,0,0,10,15,13,9,14,19,0.9285714285714286,0.47368421052631576,12,17,0,0,24,21,0,0,0,0,14,8,1,3,1,0,away_team
22,8,0.2727272727272727,0.5,22.58179662610294,18.76107724016415,2,2,10,7,0.45454545454545453,0.875,18,6,4,2,0,0,477,263,0.7358490566037735,0.623574144486692,11,7,21.681818181818183,32.875,16,8,0.3125,0.375,7,5,7,6,0,0,7,30,13,7,16,14,0.8125,0.5,13,27,0,0,18,33,0,0,0,0,14,16,3,1,0,1,draw
8,10,0.375,0.4,33.76285794125035,12.528143726758035,1,3,1,7,0.125,0.7,8,8,0,1,0,1,475,395,0.7578947368421053,0.6860759493670886,7,6,59.375,39.5,18,9,0.16666666666666666,0.2222222222222222,3,3,9,9,0,0,15,22,13,13,25,23,0.52,0.5652173913043478,22,13,0,1,33,18,0,0,0,0,18,19,3,1,0,0,draw
9,9,0.7777777777777778,0.1111111111111111,13.798140147343123,22.016811758290526,2,0,9,3,1.0,0.3333333333333333,5,9,4,0,0,0,417,533,0.6522781774580336,0.7598499061913696,8,5,46.333333333333336,59.22222222222222,10,14,0.0,0.21428571428571427,11,4,17,7,0,0,16,11,16,12,23,17,0.6956521739130435,0.7058823529411765,15,13,0,0,29,22,0,1,0,0,15,19,2,2,0,0,home_team
14,7,0.07142857142857142,0.2857142857142857,14.649232061783984,22.573055893022982,2,0,9,2,0.6428571428571429,0.2857142857142857,9,7,5,0,0,0,574,398,0.7979094076655052,0.6758793969849246,10,4,41.0,56.857142857142854,20,11,0.35,0.18181818181818182,6,4,6,16,0,0,14,21,13,11,18,21,0.7222222222222222,0.5238095238095238,14,20,0,2,21,16,0,0,0,1,12,7,4,5,0,0,draw
25,17,0.28,0.4117647058823529,19.010113267179978,24.288879132216305,2,2,16,6,0.64,0.35294117647058826,19,17,6,0,0,0,545,337,0.7871559633027523,0.7329376854599406,16,12,21.8,19.823529411764707,15,7,0.13333333333333333,0.2857142857142857,11,1,10,10,0,0,11,35,9,10,15,19,0.6,0.5263157894736842,19,16,0,1,7,41,0,0,0,1,8,9,3,4,0,0,away_team
13,12,0.38461538461538464,0.25,16.79402556961174,25.33130826203629,3,1,7,8,0.5384615384615384,0.6666666666666666,10,10,3,2,0,0,486,410,0.7510288065843621,0.7097560975609756,9,9,37.38461538461539,34.166666666666664,17,7,0.23529411764705882,0.42857142857142855,5,7,6,13,0,0,18,21,14,17,21,22,0.6666666666666666,0.7727272727272727,14,17,0,0,14,13,0,0,0,2,9,6,5,1,0,0,draw
15,5,0.3333333333333333,0.6,14.763970398330386,14.009248190178711,2,1,7,5,0.4666666666666667,1.0,13,3,2,2,0,0,541,404,0.7652495378927912,0.7277227722772277,9,5,36.06666666666667,80.8,14,8,0.2857142857142857,0.375,2,3,2,9,0,1,19,22,21,16,30,23,0.7,0.6956521739130435,12,22,1,3,12,22,0,0,0,0,17,17,1,6,0,0,home_team
23,4,0.5652173913043478,0.25,17.99072627424345,10.523307464861036,2,1,17,2,0.7391304347826086,0.5,20,4,3,0,0,0,697,259,0.8593974175035868,0.61003861003861,18,3,30.304347826086957,64.75,14,8,0.2857142857142857,0.25,15,2,5,11,0,0,11,20,7,15,13,25,0.5384615384615384,0.6,4,30,1,1,17,27,0,0,1,0,10,14,0,3,0,0,home_team
13,3,0.6153846153846154,0.0,17.07592072158949,120.0,3,0,11,0,0.8461538461538461,0.0,11,3,2,0,0,0,723,410,0.8450899031811895,0.6926829268292682,11,3,55.61538461538461,136.66666666666666,6,4,0.5,0.25,5,4,15,10,1,0,14,17,14,7,22,14,0.6363636363636364,0.5,9,15,0,0,11,13,0,1,0,0,18,14,2,2,0,1,home_team
21,7,0.5238095238095238,0.14285714285714285,18.551780373606867,11.799999999999997,5,1,11,3,0.5238095238095238,0.42857142857142855,17,7,4,0,0,0,694,327,0.8573487031700289,0.7492354740061162,15,4,33.04761904761905,46.714285714285715,25,11,0.4,0.09090909090909091,11,4,10,12,0,0,13,27,7,7,16,10,0.5,0.7,12,16,0,1,22,27,1,0,0,1,10,5,3,3,0,0,home_team
15,9,0.26666666666666666,0.4444444444444444,19.696204020455685,17.475825528850354,0,1,5,5,0.3333333333333333,0.5555555555555556,14,9,1,0,0,0,443,290,0.7516930022573364,0.6448275862068965,8,4,29.533333333333335,32.22222222222222,19,9,0.3157894736842105,0.1111111111111111,6,6,7,14,0,0,9,17,10,11,19,26,0.5263157894736842,0.4230769230769231,16,20,0,0,17,25,1,0,0,0,14,14,5,3,0,0,away_team
16,3,0.125,0.6666666666666666,19.536825951354828,21.68748959241136,0,0,6,2,0.375,0.6666666666666666,15,1,1,2,0,0,587,324,0.787052810902896,0.6111111111111112,8,2,36.6875,108.0,14,4,0.07142857142857142,0.25,3,0,12,20,0,0,9,16,17,13,22,19,0.7727272727272727,0.6842105263157895,14,25,0,1,24,25,0,0,0,0,23,20,2,4,0,0,draw
